id;nama;main_product;by_product;jenis;code_item;sku;slug;type;berat_kali;category_id;created_at;updated_at;deleted_at;key;status
1623;PLASTIK POLOS UK 28X40 TEBAL 0.4;;;Invnentory;;2110000001;;;;21;;;;;1
1624;PLASTIK POLOS UK 9 X 20 TEBAL 0.4;;;Invnentory;;2110000002;;;;21;;;;;1
1625;PLASTIK POLOS UK 17 X 33 TEBAL 0.6;;;Invnentory;;2110000003;;;;21;;;;;1
1626;PLASTIK POLOS UK 28 X 40 TEBAL 0.6;;;Invnentory;;2110000004;;;;21;;;;;1
1627;PLASTIK POLOS UK 50 X 70 TEBAL 0.4;;;Invnentory;;2110000005;;;;21;;;;;1
1628;PLASTIK POLOS UK 15 X 30 TEBAL 0.6;;;Invnentory;;2110000006;;;;21;;;;;1
1629;PLASTIK POLOS UK 50 X 38 TEBAL 0.4;;;Invnentory;;2110000007;;;;21;;;;;1
1630;PLASTIK POLOS UK 20 X 33 TEBAL 0.6;;;Invnentory;;2110000008;;;;21;;;;;1
1631;PLASTIK POLOS UK 28 X 33 TEBAL 0.4;;;Invnentory;;2110000009;;;;21;;;;;1
1632;PLASTIK POLOS 15X30 TEBAL 0.4;;;Invnentory;;2110000010;;;;21;;;;;1
1633;PLASTIK POLOS UK 28X40;;;Invnentory;;2110000011;;;;21;;;;;1
1634;PLASTIK POLOS UK 15 X 35 TEBAL 0.4;;;Invnentory;;2110000012;;;;21;;;;;1
1635;PLASTIK POLOS UK 20X33;;;Invnentory;;2110000013;;;;21;;;;;1
1636;PLASTIK POLOS UK 17X33;;;Invnentory;;2110000014;;;;21;;;;;1
1637;PLASTIK POLOS UK 28X33;;;Invnentory;;2110000015;;;;21;;;;;1
1638;PLASTIK POLOS 20X35;;;Invnentory;;2110000016;;;;21;;;;;1
1639;PLASTIK POLOS UK. 74X0,06;;;Invnentory;;2110000017;;;;21;;;;;1
1640;PLASTIK POLOS UK 17 X 35 TEBAL 0.4;;;Invnentory;;2110000018;;;;21;;;;;1
1641;PLASTIK POLOS UK 28 X 35 TEBAL 0.4;;;Invnentory;;2110000019;;;;21;;;;;1
1642;PLASTIK POLOS 15 X 33 TEBAL 0.4;;;Invnentory;;2110000020;;;;21;;;;;1
1643;PLASTIK POLOS UK 18 X 35 TEBAL 0.5;;;Invnentory;;2110000021;;;;21;;;;;1
1644;PLASTIK POLOS UK 45 X 65 TEBAL 0.6;;;Invnentory;;2110000022;;;;21;;;;;1
1645;PLASTIK POLOS UK. 20 X 35 TEBAL 0.4;;;Invnentory;;2110000023;;;;21;;;;;1
1646;PLASTIK POLOS UK. 23 X 35;;;Invnentory;;2110000024;;;;21;;;;;1
1647;PLASTIK AVIDA ASUH UK 20 X 33 TEBAL 0.6;;;Invnentory;;2120000001;;;;21;;;;;1
1648;PLASTIK AVIDA ASUH UK 17 X 33 TEBAL 0.6;;;Invnentory;;2120000002;;;;21;;;;;1
1649;PLASTIK AVIDA ASUH UK 15 X 33 TEBAL 0.6;;;Invnentory;;2120000003;;;;21;;;;;1
1650;PLASTIK AVIDA ASUH UK 28 X 33 TEBAL 0.4;;;Invnentory;;2120000004;;;;21;;;;;1
1651;PLASTIK AVIDA UK 17 X 33 TEBAL 0.4;;;Invnentory;;2120000005;;;;21;;;;;1
1652;PLASTIK AVIDA UK 20X33;;;Invnentory;;2120000006;;;;21;;;;;1
1653;PLASTIK AVIDA UK 28X33;;;Invnentory;;2120000007;;;;21;;;;;1
1654;PLASTIK AVIDA UK 17X33;;;Invnentory;;2120000008;;;;21;;;;;1
1655;PLASTIK AVIDA UK 15 X 33 TEBAL 0.4;;;Invnentory;;2120000009;;;;21;;;;;1
1656;PLASTIK MEYER FOOD UK 17 X 33 TEBAL 0.6;;;Invnentory;;2130000001;;;;21;;;;;1
1657;PLASTIK MEYER FOOD UK 15 X 33 TEBAL 0.6;;;Invnentory;;2130000002;;;;21;;;;;1
1658;PLASTIK MEYER 17 X 33 TEBAL 0.4;;;Invnentory;;2130000003;;;;21;;;;;1
1659;PLASTIK VACUUM POLOS UK 16.5 X 30;;;Invnentory;;2140000001;;;;21;;;;;1
1660;PLASTIK KRESEK PUTIH BENING UK 40 X 28 X 48 TEBAL 0.2;;;Invnentory;;2140000002;;;;21;;;;;1
1661;PLASTIK PE MOJO FRESH 17 X 33 X 0.06;;;Invnentory;;2140000003;;;;21;;;;;1
1662;PLASTIK PE MOJO FRESH 20 X 33 X 0.04;;;Invnentory;;2140000004;;;;21;;;;;1
1663;PLASTIK PE MOJO FRESH 28 X 33 X 0.04;;;Invnentory;;2140000005;;;;21;;;;;1
1664;PLASTIK PE MOJO FRESH 16 X 38 X 0.06;;;Invnentory;;2140000006;;;;21;;;;;1
1665;PLASTIK PE MOJO FRESH 17 X 38 X 0.06;;;Invnentory;;2140000007;;;;21;;;;;1
1666;PLASTIK PE MOJO FRESH 14 X 35 X 0.06;;;Invnentory;;2140000008;;;;21;;;;;1
1667;PLASTIK PE MOJO FRESH 15 X 35 X 0.06;;;Invnentory;;2140000009;;;;21;;;;;1
1668;PLASTIK PE MOJO FRESH 17 X 35 X 0.06;;;Invnentory;;2140000010;;;;21;;;;;1
1669;PLASTIK KRESEK (PAK);;;Invnentory;;2140000011;;;;21;;;;;1
