id;nama;main_product;by_product;jenis;code_item;sku;slug;type;berat_kali;category_id;created_at;updated_at;deleted_at;key;status
1;Ayam Karkas Broiler;NULL;NULL;fresh;NULL;1211100000;ayam-karkas-broiler;NULL;NULL;1;09/06/21 13.55;09/06/21 17.46;NULL;NULL;1
2;Ayam Karkas Broiler 03-04;NULL;NULL;fresh;NULL;1211100001;ayam-karkas-broiler-03-04;NULL;NULL;1;09/06/21 13.55;09/06/21 17.46;NULL;NULL;1
3;Ayam Karkas Broiler 04-05;NULL;NULL;fresh;NULL;1211100002;ayam-karkas-broiler-04-05;NULL;NULL;1;09/06/21 13.55;09/06/21 17.46;NULL;NULL;1
4;Ayam Karkas Broiler 05-06;NULL;NULL;fresh;NULL;1211100003;ayam-karkas-broiler-05-06;NULL;NULL;1;09/06/21 13.55;09/06/21 17.46;NULL;NULL;1
5;Ayam Karkas Broiler 06-07;NULL;NULL;fresh;NULL;1211100004;ayam-karkas-broiler-06-07;NULL;NULL;1;09/06/21 13.55;09/06/21 17.46;NULL;NULL;1
6;Ayam Karkas Broiler 07-08;NULL;NULL;fresh;NULL;1211100005;ayam-karkas-broiler-07-08;NULL;NULL;1;09/06/21 13.55;09/06/21 17.46;NULL;NULL;1
7;Ayam Karkas Broiler 08-09;NULL;NULL;fresh;NULL;1211100006;ayam-karkas-broiler-08-09;NULL;NULL;1;09/06/21 13.55;09/06/21 17.46;NULL;NULL;1
8;Ayam Karkas Broiler 09-10;NULL;NULL;fresh;NULL;1211100007;ayam-karkas-broiler-09-10;NULL;NULL;1;09/06/21 13.55;09/06/21 17.46;NULL;NULL;1
9;Ayam Karkas Broiler 10-11;NULL;NULL;fresh;NULL;1211100008;ayam-karkas-broiler-10-11;NULL;NULL;1;09/06/21 13.55;09/06/21 17.46;NULL;NULL;1
10;Ayam Karkas Broiler 11-12;NULL;NULL;fresh;NULL;1211100009;ayam-karkas-broiler-11-12;NULL;NULL;1;09/06/21 13.55;09/06/21 17.46;NULL;NULL;1
11;Ayam Karkas Broiler 12-13;NULL;NULL;fresh;NULL;1211100010;ayam-karkas-broiler-12-13;NULL;NULL;1;09/06/21 13.55;09/06/21 17.46;NULL;NULL;1
12;Ayam Karkas Broiler 13-14;NULL;NULL;fresh;NULL;1211100011;ayam-karkas-broiler-13-14;NULL;NULL;1;09/06/21 13.55;09/06/21 17.46;NULL;NULL;1
13;Ayam Karkas Broiler 14-15;NULL;NULL;fresh;NULL;1211100012;ayam-karkas-broiler-14-15;NULL;NULL;1;09/06/21 13.55;09/06/21 17.46;NULL;NULL;1
14;Ayam Karkas Broiler 15-16;NULL;NULL;fresh;NULL;1211100013;ayam-karkas-broiler-15-16;NULL;NULL;1;09/06/21 13.55;09/06/21 17.46;NULL;NULL;1
15;Ayam Karkas Broiler 16-17;NULL;NULL;fresh;NULL;1211100014;ayam-karkas-broiler-16-17;NULL;NULL;1;09/06/21 13.55;09/06/21 17.46;NULL;NULL;1
16;Ayam Karkas Broiler 17-18;NULL;NULL;fresh;NULL;1211100015;ayam-karkas-broiler-17-18;NULL;NULL;1;09/06/21 13.55;09/06/21 17.46;NULL;NULL;1
